FPR	TPR	Threshold
0.000097	0.003567	1.034744
0.000097	0.003581	1.034717
0.000097	0.003592	1.034675
0.000097	0.003599	1.034648
0.000097	0.003647	1.034603
0.000097	0.003650	1.034586
0.000097	0.003671	1.034551
0.000097	0.003685	1.034548
0.000097	0.003702	1.034374
0.000097	0.003709	1.034325
0.000097	0.003720	1.034237
0.000097	0.003733	1.034233
0.000097	0.003737	1.034204
0.000097	0.003768	1.034159
0.000097	0.003771	1.034150
0.000098	0.003789	1.034145
0.000098	0.003803	1.034137
0.000098	0.003823	1.034131
0.000098	0.003827	1.034080
0.000098	0.003861	1.033870
0.000098	0.003865	1.033859
0.000100	0.003868	1.033839
0.000100	0.003896	1.033757
0.000100	0.003899	1.033673
0.000100	0.003927	1.033655
0.000100	0.003937	1.033640
0.000100	0.003944	1.033622
0.000100	0.003955	1.033600
0.000100	0.003962	1.033592
0.000100	0.003968	1.033580
0.000100	0.003972	1.033521
0.000100	0.003982	1.033456
0.000100	0.003996	1.033297
0.000100	0.004003	1.033270
0.000100	0.004031	1.033262
0.000100	0.004065	1.033218
0.000100	0.004072	1.033216
0.000100	0.004086	1.033201
0.000100	0.004100	1.033084
0.000100	0.004117	1.033069
0.000100	0.004145	1.033066
0.000100	0.004148	1.032981
0.000100	0.004159	1.032956
0.000100	0.004162	1.032954
0.000100	0.004183	1.032836
0.000100	0.004190	1.032761
0.000101	0.004200	1.032755
0.000101	0.004204	1.032736
0.000101	0.004224	1.032644
0.000101	0.004228	1.032622
0.000103	0.004238	1.032592
0.000103	0.004245	1.032579
0.000106	0.004252	1.032579
0.000106	0.004259	1.032567
0.000106	0.004269	1.032518
0.000106	0.004280	1.032499
0.000106	0.004286	1.032464
0.000106	0.004304	1.032458
0.000106	0.004324	1.032456
0.000106	0.004352	1.032431
0.000106	0.004356	1.032425
0.000106	0.004376	1.032410
0.000106	0.004390	1.032357
0.000106	0.004394	1.032349
0.000106	0.004401	1.032323
0.000106	0.004404	1.032308
0.000106	0.004418	1.032293
0.000106	0.004425	1.032272
0.000106	0.004435	1.032220
0.000106	0.004442	1.032192
0.000107	0.004442	1.032139
0.000107	0.004449	1.032136
0.000107	0.004470	1.032119
0.000107	0.004473	1.032109
0.000107	0.004487	1.032022
0.000107	0.004490	1.031997
0.000107	0.004508	1.031970
0.000107	0.004580	1.031948
0.000107	0.004584	1.031938
0.000107	0.004594	1.031937
0.000107	0.004605	1.031916
0.000107	0.004639	1.031894
0.000107	0.004643	1.031886
0.000107	0.004649	1.031868
0.000108	0.004660	1.031849
0.000108	0.004670	1.031779
0.000108	0.004687	1.031777
0.000108	0.004691	1.031676
0.000110	0.004701	1.031646
0.000111	0.004722	1.031605
0.000111	0.004725	1.031573
0.000111	0.004732	1.031565
0.000111	0.004739	1.031543
0.000111	0.004757	1.031524
0.000111	0.004770	1.031513
0.000111	0.004777	1.031509
0.000111	0.004791	1.031469
0.000111	0.004795	1.031456
0.000111	0.004802	1.031455
0.000111	0.004829	1.031453
0.000111	0.004833	1.031428
0.000111	0.004843	1.031418
0.000111	0.004846	1.031379
0.000113	0.004850	1.031347
0.000113	0.004857	1.031246
0.000113	0.004871	1.031204
0.000113	0.004888	1.031157
0.000113	0.004891	1.031141
0.000113	0.004902	1.031136
0.000113	0.004909	1.031095
0.000114	0.004909	1.031087
0.000114	0.004916	1.031085
0.000114	0.004926	1.031022
0.000114	0.004954	1.030936
0.000114	0.004964	1.030904
0.000114	0.004978	1.030901
0.000114	0.004985	1.030866
0.000114	0.004995	1.030855
0.000114	0.005033	1.030817
0.000114	0.005040	1.030805
0.000114	0.005078	1.030713
0.000114	0.005082	1.030679
0.000114	0.005092	1.030649
0.000114	0.005102	1.030554
0.000114	0.005126	1.030536
0.000114	0.005133	1.030375
0.000114	0.005151	1.030345
0.000114	0.005171	1.030334
0.000114	0.005178	1.030320
0.000114	0.005182	1.030232
0.000114	0.005192	1.030206
0.000114	0.005199	1.030193
0.000114	0.005213	1.030187
0.000114	0.005216	1.030186
0.000114	0.005254	1.030185
0.000114	0.005289	1.030173
0.000114	0.005296	1.030146
0.000114	0.005310	1.030142
0.000114	0.005317	1.030133
0.000114	0.005330	1.030089
0.000114	0.005355	1.030084
0.000114	0.005362	1.030049
0.000114	0.005375	1.029895
0.000114	0.005382	1.029863
0.000114	0.005386	1.029860
0.000114	0.005406	1.029804
0.000114	0.005413	1.029771
0.000114	0.005431	1.029761
0.000114	0.005462	1.029759
0.000114	0.005486	1.029739
0.000114	0.005489	1.029728
0.000114	0.005503	1.029725
0.000114	0.005510	1.029655
0.000117	0.005531	1.029572
0.000117	0.005538	1.029565
0.000117	0.005562	1.029548
0.000117	0.005569	1.029522
0.000117	0.005576	1.029522
0.000117	0.005590	1.029516
0.000117	0.005593	1.029506
0.000117	0.005610	1.029441
0.000117	0.005617	1.029409
0.000117	0.005624	1.029409
0.000117	0.005638	1.029322
0.000117	0.005659	1.029304
0.000117	0.005662	1.029282
0.000117	0.005673	1.029228
0.000117	0.005676	1.029195
0.000117	0.005697	1.029123
0.000117	0.005700	1.029101
0.000118	0.005704	1.029077
0.000120	0.005704	1.029005
0.000120	0.005731	1.028933
0.000120	0.005735	1.028933
0.000125	0.005745	1.028816
0.000125	0.005773	1.028611
0.000125	0.005783	1.028581
0.000125	0.005790	1.028507
0.000125	0.005801	1.028504
0.000125	0.005807	1.028455
0.000125	0.005825	1.028452
0.000125	0.005846	1.028423
0.000125	0.005859	1.028390
0.000125	0.005863	1.028373
0.000125	0.005932	1.028365
0.000125	0.005946	1.028268
0.000125	0.005963	1.028195
0.000125	0.006011	1.028159
0.000125	0.006022	1.028071
0.000127	0.006025	1.028056
0.000127	0.006032	1.028049
0.000127	0.006046	1.028036
0.000127	0.006049	1.028022
0.000127	0.006067	1.028015
0.000127	0.006070	1.027988
0.000127	0.006077	1.027983
0.000127	0.006081	1.027949
0.000127	0.006087	1.027943
0.000127	0.006112	1.027798
0.000127	0.006150	1.027754
0.000127	0.006160	1.027716
0.000128	0.006167	1.027713
0.000128	0.006188	1.027628
0.000128	0.006202	1.027587
0.000128	0.006215	1.027546
0.000128	0.006219	1.027536
0.000128	0.006229	1.027306
0.000129	0.006229	1.027306
0.000129	0.006233	1.027305
0.000129	0.006246	1.027281
0.000131	0.006246	1.027263
0.000131	0.006250	1.027255
0.000131	0.006264	1.027204
0.000131	0.006274	1.027178
0.000131	0.006278	1.027175
0.000131	0.006285	1.027173
0.000131	0.006291	1.027156
0.000131	0.006298	1.027129
0.000131	0.006302	1.027106
0.000131	0.006326	1.027105
0.000131	0.006329	1.027043
0.000131	0.006336	1.027033
0.000132	0.006343	1.027030
0.000132	0.006350	1.027011
0.000132	0.006357	1.026973
0.000134	0.006357	1.026964
0.000134	0.006378	1.026958
0.000134	0.006385	1.026928
0.000134	0.006402	1.026903
0.000135	0.006402	1.026859
0.000135	0.006406	1.026852
0.000135	0.006412	1.026844
0.000135	0.006416	1.026839
0.000135	0.006426	1.026829
0.000135	0.006433	1.026821
0.000135	0.006444	1.026712
0.000141	0.006447	1.026700
0.000141	0.006457	1.026687
0.000141	0.006464	1.026678
0.000141	0.006482	1.026572
0.000141	0.006499	1.026572
0.000141	0.006523	1.026570
0.000141	0.006530	1.026541
0.000141	0.006547	1.026477
0.000141	0.006551	1.026443
0.000141	0.006571	1.026319
0.000141	0.006585	1.026296
0.000141	0.006589	1.026205
0.000141	0.006603	1.026191
0.000141	0.006616	1.026157
0.000141	0.006634	1.026025
0.000141	0.006637	1.025960
0.000141	0.006644	1.025936
0.000141	0.006661	1.025768
0.000141	0.006675	1.025754
0.000141	0.006696	1.025740
0.000141	0.006699	1.025671
0.000141	0.006710	1.025660
0.000141	0.006717	1.025651
0.000141	0.006730	1.025638
0.000141	0.006737	1.025583
0.000141	0.006748	1.025569
0.000141	0.006751	1.025565
0.000141	0.006762	1.025555
0.000141	0.006765	1.025534
0.000141	0.006779	1.025527
0.000141	0.006782	1.025520
0.000141	0.006796	1.025512
0.000141	0.006834	1.025487
0.000141	0.006841	1.025480
0.000141	0.006872	1.025468
0.000141	0.006879	1.025405
0.000141	0.006889	1.025403
0.000141	0.006896	1.025372
0.000141	0.006910	1.025226
0.000141	0.006917	1.025210
0.000141	0.006921	1.025202
0.000141	0.006934	1.025154
0.000141	0.006938	1.025096
0.000141	0.006955	1.025094
0.000141	0.006962	1.025012
0.000144	0.006976	1.025006
0.000144	0.006986	1.025005
0.000144	0.006997	1.024967
0.000151	0.007004	1.024956
0.000152	0.007004	1.024952
0.000152	0.007010	1.024941
0.000152	0.007014	1.024926
0.000152	0.007021	1.024920
0.000152	0.007031	1.024873
0.000163	0.007045	1.024853
0.000165	0.007055	1.024834
0.000165	0.007059	1.024812
0.000166	0.007142	1.024734
0.000166	0.007169	1.024722
0.000166	0.007180	1.024641
0.000167	0.007183	1.024625
0.000167	0.007194	1.024558
0.000167	0.007211	1.024545
0.000167	0.007214	1.024476
0.000167	0.007235	1.024475
0.000167	0.007252	1.024416
0.000167	0.007259	1.024410
0.000167	0.007270	1.024408
0.000167	0.007273	1.024381
0.000167	0.007284	1.024355
0.000167	0.007287	1.024292
0.000167	0.007304	1.024272
0.000167	0.007318	1.024190
0.000167	0.007328	1.024151
0.000167	0.007349	1.024086
0.000167	0.007367	1.024054
0.000167	0.007373	1.024047
0.000167	0.007384	1.024038
0.000167	0.007394	1.024001
0.000167	0.007408	1.023957
0.000167	0.007418	1.023928
0.000167	0.007425	1.023894
0.000167	0.007429	1.023843
0.000167	0.007436	1.023827
0.000167	0.007446	1.023767
0.000167	0.007453	1.023758
0.000167	0.007463	1.023733
0.000167	0.007477	1.023691
0.000169	0.007481	1.023647
0.000169	0.007488	1.023624
0.000169	0.007501	1.023618
0.000169	0.007512	1.023581
0.000169	0.007539	1.023537
0.000169	0.007550	1.023426
0.000169	0.007564	1.023407
0.000169	0.007581	1.023387
0.000169	0.007588	1.023367
0.000169	0.007598	1.023339
0.000169	0.007602	1.023305
0.000169	0.007608	1.023293
0.000169	0.007633	1.023259
0.000169	0.007636	1.023226
0.000169	0.007664	1.023220
0.000169	0.007667	1.023196
0.000169	0.007688	1.023191
0.000169	0.007691	1.023153
0.000169	0.007702	1.023133
0.000169	0.007705	1.023127
0.000169	0.007733	1.023125
0.000169	0.007747	1.023101
0.000169	0.007757	1.023087
0.000169	0.007764	1.023056
0.000169	0.007785	1.023038
0.000169	0.007795	1.022999
0.000169	0.007809	1.022980
0.000169	0.007812	1.022972
0.000169	0.007819	1.022935
0.000169	0.007830	1.022863
0.000169	0.007833	1.022860
0.000169	0.007854	1.022849
0.000169	0.007864	1.022810
0.000170	0.007864	1.022757
0.000170	0.007882	1.022689
0.000170	0.007906	1.022670
0.000170	0.007909	1.022662
0.000170	0.007923	1.022649
0.000170	0.007940	1.022643
0.000170	0.007954	1.022627
0.000170	0.007961	1.022601
0.000170	0.007982	1.022570
0.000170	0.007999	1.022566
0.000170	0.008009	1.022489
0.000170	0.008023	1.022465
0.000174	0.008027	1.022444
0.000174	0.008120	1.022423
0.000174	0.008127	1.022421
0.000174	0.008137	1.022371
0.000176	0.008141	1.022366
0.000176	0.008148	1.022347
0.000177	0.008172	1.022347
0.000177	0.008179	1.022328
0.000177	0.008186	1.022321
0.000177	0.008193	1.022282
0.000177	0.008231	1.022277
0.000177	0.008238	1.022249
0.000177	0.008248	1.022246
0.000177	0.008276	1.022240
0.000177	0.008283	1.022232
0.000177	0.008289	1.022192
0.000177	0.008317	1.022184
0.000177	0.008324	1.022128
0.000177	0.008345	1.022126
0.000177	0.008369	1.022092
0.000177	0.008397	1.022086
0.000177	0.008400	1.022006
0.000177	0.008410	1.022002
0.000177	0.008417	1.021996
0.000179	0.008421	1.021965
0.000179	0.008428	1.021956
0.000179	0.008435	1.021936
0.000179	0.008438	1.021929
0.000179	0.008449	1.021929
0.000179	0.008455	1.021926
0.000179	0.008473	1.021821
0.000179	0.008490	1.021810
0.000179	0.008493	1.021806
0.000179	0.008525	1.021788
0.000179	0.008531	1.021759
0.000179	0.008535	1.021740
0.000179	0.008556	1.021704
0.000179	0.008569	1.021694
0.000179	0.008587	1.021693
0.000179	0.008590	1.021657
0.000179	0.008604	1.021644
0.000180	0.008604	1.021614
0.000180	0.008611	1.021612
0.000180	0.008618	1.021603
0.000180	0.008621	1.021602
0.000180	0.008642	1.021602
0.000180	0.008652	1.021598
0.000180	0.008673	1.021524
0.000180	0.008680	1.021524
0.000180	0.008694	1.021523
0.000180	0.008701	1.021478
0.000180	0.008708	1.021458
0.000180	0.008722	1.021416
0.000180	0.008732	1.021359
0.000180	0.008756	1.021344
0.000180	0.008777	1.021287
0.000180	0.008784	1.021285
0.000180	0.008787	1.021284
0.000180	0.008794	1.021264
0.000180	0.008798	1.021254
0.000180	0.008822	1.021250
0.000182	0.008822	1.021227
0.000182	0.008825	1.021172
0.000189	0.008829	1.021152
0.000189	0.008839	1.021148
0.000189	0.008853	1.021121
0.000189	0.008856	1.021116
0.000189	0.008874	1.021099
0.000189	0.008884	1.021098
0.000189	0.008888	1.021070
0.000189	0.008894	1.021067
0.000189	0.008915	1.021051
0.000189	0.008929	1.021034
0.000189	0.008936	1.021034
0.000189	0.008939	1.021012
0.000189	0.008946	1.021008
0.000189	0.008960	1.020992
0.000190	0.008960	1.020964
0.000190	0.008964	1.020960
0.000191	0.008964	1.020930
0.000191	0.008970	1.020912
0.000203	0.008970	1.020897
0.000203	0.008977	1.020847
0.000204	0.008984	1.020831
0.000204	0.009002	1.020828
0.000204	0.009029	1.020800
0.000204	0.009067	1.020780
0.000208	0.009071	1.020766
0.000208	0.009088	1.020751
0.000208	0.009098	1.020720
0.000208	0.009126	1.020692
0.000208	0.009129	1.020685
0.000208	0.009136	1.020667
0.000208	0.009147	1.020638
0.000208	0.009154	1.020601
0.000210	0.009164	1.020579
0.000211	0.009192	1.020568
0.000211	0.009202	1.020481
0.000211	0.009223	1.020458
0.000211	0.009226	1.020413
0.000212	0.009282	1.020327
0.000212	0.009285	1.020280
0.000212	0.009295	1.020272
0.000212	0.009330	1.020259
0.000212	0.009333	1.020259
0.000212	0.009340	1.020251
0.000212	0.009344	1.020222
0.000212	0.009351	1.020217
0.000212	0.009361	1.020200
0.000214	0.009406	1.020198
0.000215	0.009413	1.020151
0.000217	0.009413	1.020123
0.000217	0.009416	1.020118
0.000217	0.009423	1.020092
0.000217	0.009448	1.020079
0.000217	0.009458	1.020054
0.000217	0.009492	1.020024
0.000217	0.009499	1.020024
0.000217	0.009506	1.019988
0.000217	0.009524	1.019985
0.000217	0.009530	1.019963
0.000217	0.009534	1.019926
0.000217	0.009555	1.019909
0.000217	0.009607	1.019904
0.000217	0.009613	1.019853
0.000217	0.009624	1.019840
0.000217	0.009627	1.019832
0.000217	0.009645	1.019824
0.000217	0.009651	1.019819
0.000217	0.009658	1.019796
0.000218	0.009669	1.019777
0.000218	0.009676	1.019756
0.000218	0.009686	1.019707
0.000218	0.009690	1.019696
0.000218	0.009696	1.019683
0.000218	0.009700	1.019672
0.000218	0.009710	1.019652
0.000218	0.009734	1.019647
0.000218	0.009738	1.019618
0.000218	0.009748	1.019568
0.000218	0.009752	1.019543
0.000219	0.009752	1.019344
0.000219	0.009762	1.019315
0.000221	0.009793	1.019308
0.000221	0.009804	1.019275
0.000221	0.009849	1.019160
0.000221	0.009855	1.019083
0.000222	0.009855	1.019047
0.000222	0.009862	1.019025
0.000222	0.009873	1.019013
0.000222	0.009880	1.019000
0.000222	0.009887	1.018972
0.000222	0.009890	1.018958
0.000222	0.009904	1.018943
0.000224	0.009925	1.018939
0.000224	0.009931	1.018920
0.000224	0.009942	1.018808
0.000224	0.009956	1.018757
0.000224	0.009970	1.018730
0.000224	0.010001	1.018711
0.000224	0.010021	1.018705
0.000224	0.010032	1.018575
0.000225	0.010042	1.018555
0.000225	0.010066	1.018552
0.000225	0.010094	1.018529
0.000225	0.010101	1.018526
0.000225	0.010108	1.018472
0.000225	0.010118	1.018458
0.000225	0.010125	1.018442
0.000225	0.010129	1.018409
0.000235	0.010229	1.018344
0.000239	0.010253	1.018343
0.000239	0.010274	1.018309
0.000239	0.010277	1.018292
0.000239	0.010305	1.018249
0.000239	0.010332	1.018226
0.000239	0.010353	1.018211
0.000239	0.010364	1.018201
0.000241	0.010371	1.018189
0.000241	0.010377	1.018169
0.000241	0.010384	1.018152
0.000241	0.010395	1.018003
0.000241	0.010440	1.017997
0.000241	0.010450	1.017919
0.000241	0.010464	1.017855
0.000241	0.010478	1.017832
0.000241	0.010481	1.017819
0.000241	0.010495	1.017803
0.000241	0.010509	1.017761
0.000241	0.010516	1.017713
0.000241	0.010536	1.017710
0.000241	0.010547	1.017686
0.000241	0.010550	1.017683
0.000241	0.010557	1.017678
0.000241	0.010561	1.017670
0.000241	0.010568	1.017670
0.000241	0.010571	1.017656
0.000241	0.010592	1.017646
0.000241	0.010602	1.017619
0.000241	0.010606	1.017613
0.000241	0.010644	1.017554
0.000241	0.010647	1.017505
0.000241	0.010657	1.017477
0.000241	0.010664	1.017458
0.000241	0.010668	1.017458
0.000241	0.010689	1.017420
0.000241	0.010699	1.017414
0.000241	0.010709	1.017351
0.000246	0.010709	1.017336
0.000246	0.010716	1.017336
0.000246	0.010720	1.017333
0.000246	0.010733	1.017308
0.000246	0.010744	1.017068
0.000246	0.010751	1.017040
0.000246	0.010761	1.017004
0.000246	0.010768	1.016993
0.000246	0.010771	1.016985
0.000246	0.010810	1.016954
0.000246	0.010813	1.016950
0.000246	0.010844	1.016933
0.000246	0.010851	1.016916
0.000246	0.010896	1.016905
0.000246	0.010906	1.016889
0.000246	0.010917	1.016839
0.000246	0.010934	1.016812
0.000248	0.010937	1.016800
0.000248	0.010955	1.016790
0.000249	0.010958	1.016783
0.000249	0.010982	1.016763
0.000249	0.010993	1.016719
0.000249	0.011000	1.016704
0.000249	0.011017	1.016643
0.000249	0.011083	1.016629
0.000249	0.011086	1.016623
0.000249	0.011110	1.016616
0.000250	0.011110	1.016613
0.000250	0.011121	1.016588
0.000250	0.011131	1.016587
0.000250	0.011138	1.016565
0.000250	0.011159	1.016549
0.000250	0.011169	1.016524
0.000250	0.011176	1.016513
0.000250	0.011193	1.016490
0.000252	0.011193	1.016472
0.000252	0.011204	1.016435
0.000252	0.011217	1.016434
0.000252	0.011224	1.016432
0.000252	0.011228	1.016343
0.000255	0.011228	1.016313
0.000255	0.011266	1.016309
0.000255	0.011293	1.016306
0.000255	0.011300	1.016259
0.000255	0.011311	1.016251
0.000255	0.011325	1.016103
0.000255	0.011332	1.016102
0.000256	0.011335	1.016099
0.000256	0.011338	1.016073
0.000256	0.011349	1.016055
0.000256	0.011380	1.016033
0.000256	0.011387	1.016019
0.000256	0.011394	1.015990
0.000256	0.011428	1.015975
0.000257	0.011432	1.015963
0.000257	0.011446	1.015937
0.000257	0.011459	1.015809
0.000257	0.011501	1.015784
0.000257	0.011515	1.015724
